policy,contacted_share,visit_rate,conversion_rate,spend_per_customer,expected_conversions_per_100k,expected_spend_per_100k,contact_cost_per_100k,incremental_conversions_vs_holdout,incremental_spend_vs_holdout,cost_adjusted_value_per_100k
Send all Mens E-Mail,1.0,0.18275684047496127,0.01253109306800582,1.422616511005773,1253.109306800582,142261.6511005773,55000.00000000001,680.5006519615696,76982.71558945367,87261.65110057729
Send all Womens E-Mail,1.0,0.151400383410483,0.008837144059475383,1.0772015710478329,883.7144059475382,107720.15710478328,55000.00000000001,311.10575110852574,42441.221593659655,52720.15710478328
Rule-based target/suppress,0.2951875,0.1350538783744355,0.00895110988680291,1.0652473087620558,895.1109886802909,106524.73087620558,16235.312500000002,322.5023338412784,41245.79536508195,90289.41837620558
No campaign holdout,0.0,0.10616727682343002,0.005726086548390125,0.6527893551112363,572.6086548390125,65278.93551112363,0.0,0.0,0.0,65278.93551112363
